id,last_name,gender,university name,country,latitude,longitude,age
1,Delion,F,Shinshu University,Catalan,42.484,-94.206,28
2,Begin,F,Birzeit University,French,42.834,-96.565,35
3,Cartmill,F,Bethune-Cookman College,Tamil,41.3,-91.102,24
4,Marquese,M,Western Connecticut State University,Pashto,43.183,-95.979,28
5,Filipson,F,Wingate University,Macedonian,43.216,-93.195,18
6,Gotts,M,Georgia College & State University,Swati,40.631,-96.226,27
7,Matthiae,M,University College of Nabi Akram,Hiri Motu,41.577,-93.863,23
8,Burdus,F,LICCSAL Business College,Kurdish,41.992,-96.675,22
9,Bussetti,F,"St. Francis College, Fort Wayne",Polish,43.836,-90.459,28
10,Drain,M,Westsächsische Hochschule Zwickau (FH),Croatian,41.173,-93.309,26
11,Pflieger,F,University of Aberdeen,Greek,41.027,-95.614,29
12,MacCorkell,F,NTI University,Moldovan,42.001,-96.265,19
13,Fairleigh,F,"Courtauld Institute of Art, University of London",Hungarian,40.339,-94.386,21
14,Hasley,F,University of the South Pacific School of Agriculture,Papiamento,43.146,-93.675,33
15,Gowry,M,Wellspring University,Chinese,43.774,-92.203,25
16,Moorton,F,Hochschule Bremerhaven,Tamil,42.936,-92.31,26
17,Goodwins,M,University of Venda,Irish Gaelic,43.306,-93.9,31
18,Chastagnier,F,Volga State Academy of Water Transport,Dutch,40.202,-95.258,22
19,Waitland,M,Nigerian Turkish Nile University,Swati,43.411,-91.035,24
20,McMeekan,M,Sterlitamak State Pedagogical Institute,Korean,40.291,-92.961,29
21,Hampe,M,Turin Polytechnic University In Tashkent,English,42.423,-91.094,33
22,Philbrook,F,Montanuniversität Leoben,Hindi,41.885,-92.816,30
23,Soal,M,Zhejiang Forestry University,Czech,41.927,-90.918,30
24,Pannaman,M,Koshien University,Dzongkha,42.042,-92.54,19
25,Housiaux,M,Uttarakhand Open University ,Mongolian,43.358,-91.545,35
26,Burdis,F,Universidad Panamericana de San Salvador,Hiri Motu,40.988,-95.015,35
27,Goldstone,M,Adventist University of Central Africa,Swahili,42.266,-94.772,25
28,Griffin,M,Aleksander Gieysztor School of Humanities in Pultusk,Macedonian,42.275,-96.166,35
29,Dormand,M,International School of Business Management,Sotho,41.307,-96.673,35
30,Fosken,M,Sylhet International University,Tok Pisin,43.766,-90.215,20
31,Pfeffel,M,Wakayama Medical College,Polish,41.206,-96.275,22
32,Gringley,M,Notre Dame University,Catalan,40.975,-96.11,30
33,Cattellion,M,University of Central Punjab,Hiri Motu,40.857,-92.86,22
34,Grunbaum,M,ITT Technical Institute Maitland,Hebrew,42.951,-90.377,35
35,Morl,M,Instituto Universitario de La Paz,Amharic,43.853,-91.12,24
36,Hutchin,M,Pyramid Education Center,Afrikaans,42.911,-90.049,28
37,O'Dee,M,Red Sea University,Kashmiri,43.304,-91.272,34
38,Connolly,F,Hiroshima Shudo University,Ndebele,43.338,-95.8,19
39,Crookshank,F,Universidade de Tras-os-Montes e Alto Douro,Punjabi,41.059,-94.903,34
40,Bounds,M,Anhui University of Traditional Chinese Medicine,Spanish,43.836,-90.231,33
41,New,F,University of Illinois at Urbana-Champaign,Burmese,43.654,-95.408,19
42,Ride,M,University of Science and Technology,Dari,43.575,-92.148,28
43,Yalden,M,University of Calicut,English,40.681,-95.161,27
44,Marsden,M,"Teachers College, Columbia University",Lithuanian,40.546,-94.284,26
45,Ghilks,F,Lenoir-Rhyne College,Indonesian,40.526,-95.49,33
46,Krol,M,Japanese Red Cross College of Nursing,Khmer,40.922,-96.323,31
47,Treacy,F,International Centre for Isclamic Science,Bulgarian,42.514,-93.702,31
48,Ortet,F,Universidad Autónoma de Santo Domingo,Moldovan,42.473,-94.862,26
49,Blackford,F,Universidade de Itaúna,Filipino,40.331,-96.879,30
50,Prin,F,Ukrainian Academy of Banking,Sotho,43.609,-93.291,27
51,Joynes,F,Volgograd State Pedagogical University,Icelandic,43.396,-93.044,22
52,Matuskiewicz,M,Technological University (Pakokku),Hebrew,41.905,-96.218,23
53,Nolte,M,Tomsk State Pedagogical University,Danish,41.649,-95.344,20
54,Giovannazzi,M,Carlow Institute of Technology,Aymara,43.84,-96.198,31
55,Magowan,M,Fisk University,Spanish,43.44,-94.294,20
56,Meineken,F,Florida State University,Indonesian,43.121,-92.415,33
57,Gowing,M,University Institute of Architecture Venice,Portuguese,41.099,-95.01,19
58,Bearns,F,St. Bonaventure University,Northern Sotho,40.331,-90.798,30
59,Trobridge,M,Kobe Gakuin University,Luxembourgish,43.216,-91.911,19
60,Stockey,M,National Aviation Univesity,Azeri,40.195,-96.636,29
61,Simonaitis,F,Western State University College of Law - Orange County,Tsonga,43.714,-94.874,33
62,Nelthorpe,M,Kyushu Institute of Design,Malagasy,41.852,-95.824,25
63,Mackriell,M,Miyazaki Municipal University,Nepali,43.164,-93.759,25
64,Lowfill,M,Wilmington College,Danish,41.048,-92.38,25
65,Blesli,M,Delta International University,Mongolian,40.084,-90.893,27
66,Hutchins,F,University of Moncton,Korean,40.644,-94.024,27
67,Ulrik,M,"Fachhochschule Ludwigshafen, Hochschule für Wirtschaft",Norwegian,41.988,-91.443,34
68,Vaines,F,El Colegio de México,Zulu,43.734,-90.785,34
69,Swateridge,F,Solapur University,Dari,41.274,-93.019,29
70,Grevatt,F,Daemen College,Hiri Motu,40.22,-91.508,29
71,Foltin,M,Foreign Trade University,Spanish,42.987,-91.437,28
72,Skypp,F,Coppin State College,Northern Sotho,40.328,-95.86,27
73,Cuthill,F,University of Gdansk,Amharic,43.508,-92.895,26
74,Heckney,M,Immanuel Kant State University of Russia,Belarusian,41.046,-90.905,21
75,Hammerton,M,Ukrainian Academy of Banking,Croatian,42.694,-96.1,31
76,Rodolico,M,Tokyo University of Agriculture and Technology,Fijian,41.896,-96.725,30
77,Favey,F,Universidade Lusiada,Icelandic,41.829,-94.808,32
78,Waszczykowski,F,University of North Bengal,Māori,41.77,-93.103,32
79,Assaf,M,Showa University,Northern Sotho,41.632,-94.887,19
80,Hanlin,M,Suwon University,Hiri Motu,42.368,-94.471,26
81,Baselio,M,Universidad del Valle de Puebla,Bosnian,41.194,-92.105,28
82,Fridlington,F,Minia University,Northern Sotho,40.654,-92.475,18
83,Margrett,F,Nile University,Tok Pisin,41.697,-96.581,35
84,Sancto,M,Robert Morris College of Chicago,Mongolian,40.426,-93.437,29
85,Jahner,F,Pohang University of Science and Technology,Belarusian,41.892,-90.484,18
86,Bain,F,"Arizona State University, Downtown Phoenix Campus",Kashmiri,43.112,-92.055,35
87,Aucott,M,Universitas Haluoleo,Bislama,43.756,-93.014,22
88,Sheach,M,Brickfields Asia College,Swati,40.16,-96.126,26
89,McConnel,F,Talladega College,Tajik,40.555,-93.19,25
90,Sibson,F,Sultan Qaboos University,Japanese,40.557,-92.008,25
91,Schuler,F,Universidad Nacional de Ingeniería,Icelandic,42.86,-90.633,21
92,Giovanardi,M,Fontbonne College,Haitian Creole,41.51,-96.218,31
93,Ewence,M,Kuwait International Law School,Gujarati,43.335,-90.177,18
94,Jermyn,M,Universidad Latina de Costa Rica,Chinese,41.3,-91.51,18
95,Battista,M,Bamenda University of Science & Technology,Croatian,40.963,-91.366,32
96,Rowlings,M,Universidad Autónoma de Campeche,Nepali,41.51,-90.568,29
97,Fedorski,M,Dr. Bhim Rao Abdekar University,Bislama,40.458,-96.241,32
98,Cockings,F,Kurume Institute of Technology,Gagauz,41.641,-91.733,32
99,Pulfer,F,"School of Pharmacy, University of London",Papiamento,43.024,-91.656,19
100,Stickney,M,Universidad Modular Abierta,Nepali,40.267,-95.169,20
101,Hattam,M,American Conservatory Theater,French,40.24,-96.54,28
102,Jorgesen,M,Rafsanjan University of Medical Sciences,Khmer,42.536,-93.007,27
103,Laidler,F,Aarhus School of Business,Bislama,40.379,-96.422,32
104,Pimlock,M,Université des Sciences Sociales (Toulouse I),New Zealand Sign Language,43.541,-96.11,35
105,Carme,M,Katowice School of Economics,French,43.577,-90.403,30
106,Caldeyroux,M,Universidad Autónoma de Madrid,Estonian,40.8,-93.588,23
107,Cliffe,F,Université d'Orléans,Nepali,42.204,-93.323,29
108,Jewess,F,Reitaku University,Romanian,43.209,-94.069,33
109,Piper,M,Truman State University,Hiri Motu,41.382,-90.989,27
110,Whetnell,M,Mariano Marcos State University,Swati,42.42,-91.658,34
111,Bruyett,M,University of Waterloo,Hungarian,40.884,-94.446,21
112,Fairbrass,F,Astrakhan State University,Macedonian,40.321,-95.19,18
113,Dehm,M,Arab Open University,West Frisian,41.006,-91.571,20
114,Lister,M,Universität Passau,Bosnian,40.128,-96.777,19
115,Doale,F,Hochschule für Philosophie München,Nepali,42.569,-93.23,18
116,Lawleff,F,Taj International College,English,40.601,-91.029,22
117,Staniforth,F,Baikal National University of Economics and Law,Filipino,42.142,-94.234,26
118,Swanwick,F,Lithuania Christian College,New Zealand Sign Language,42.003,-92.69,25
119,Giacopini,F,Universidade Catolica Portuguesa,Papiamento,42.458,-93.874,18
120,Braycotton,F,Indian Institute of Science,Czech,40.501,-92.1,31
121,Chilley,F,"Universidad del Norte ""Santo Tomás de Aquino""",Dzongkha,42.401,-91.779,35
122,Buncom,F,University of the Assumption,Hungarian,43.528,-90.886,30
123,Thistleton,M,University of Louisiana at Monroe,Danish,43.703,-93.786,35
124,Gonsalo,M,"Islamic Azad University, Roodehen",Pashto,42.795,-93.23,28
125,MacAndrew,F,Yamaguchi University,Tsonga,41.601,-94.989,30
126,Vigneron,F,Louisiana Tech University,Montenegrin,41.283,-91.822,18
127,Klemke,F,University of Kirkuk,Bislama,41.306,-94.938,22
128,Carreck,F,Akademia Podlaska,Haitian Creole,40.374,-92.956,30
129,Ollive,M,Medical University Varna,Kashmiri,42.626,-90.887,31
130,Trunks,F,University of Colorado at Boulder,Pashto,43.038,-90.035,23
131,McCardle,M,City University,Punjabi,41.992,-93.413,26
132,Union,M,Ecole de l'Air,Mongolian,42.15,-94.014,26
133,Kovnot,M,Université Charles-de-Gaulle (Lille III),Quechua,41.2,-91.728,20
134,Ludewig,M,"Universidad de Puerto Rico, Rio Pedras",Haitian Creole,42.114,-96.807,23
135,Rosling,F,Massey University,French,41.498,-96.899,31
136,Boothby,F,Meharry Medical College,Burmese,43.376,-92.713,27
137,Sainsbury,M,Wuhan University School of Medicine,Marathi,42.19,-92.02,34
138,Geane,F,Lingnan University,Ndebele,41.3,-94.196,31
139,Eade,M,Escuela Agricola Panamericana Zamorano,Kannada,40.787,-96.268,34
140,Swindall,M,St. Petersburg State University of Civil Aviation,Hebrew,41.894,-93.058,33
141,Woltering,M,Nicholls State University,Thai,40.771,-90.437,34
142,Copo,F,Australian Lutheran College,Spanish,43.93,-93.13,31
143,Eglese,F,Lutherische Theologische Hochschule Oberursel,Lao,43.318,-93.176,27
144,Lifsey,F,Università Pontifcia Salesiana,Tok Pisin,42.132,-93.637,19
145,Owers,M,Faculdades Integradas UPIS,Sotho,43.209,-91.257,19
146,Bransby,M,"University of Houston, Victoria",Georgian,42.139,-95.464,29
147,Prevost,M,Université des Antilles et de la Guyane,English,40.433,-93.7,30
148,Mapes,F,Ecole Nationale Supérieure de Chimie de Montpellier,Telugu,42.09,-96.19,34
149,Ilem,M,Vitebsk State Medical University,Malay,40.18,-92.623,26
150,Burburough,M,Universidad Notarial Argentina,Dutch,40.766,-95.986,25
151,Lghan,M,Ecole Nationale Supérieure de Chimie de Paris,Macedonian,40.122,-96.162,28
152,Fairnie,M,Sapporo Medical University,Tamil,41.974,-92.578,25
153,Fernie,M,Yaroslavl State Technical University,Portuguese,42.195,-92.136,34
154,Coxen,M,University of Helsinki,Italian,41.011,-93.2,30
155,McCrie,F,University of Pune,Hungarian,43.359,-92.556,34
156,Mathivet,F,University of Fribourg,West Frisian,41.853,-96.621,31
157,Yandle,M,Universitat de Barcelona,Catalan,43.26,-94.954,27
158,Gillies,M,Osaka University of Foreign Studies,Zulu,41.161,-95.326,27
159,Simms,M,University of Da Lat,Marathi,41.402,-95.133,22
160,Lunck,M,Institute of Clinical Social Work,Persian,42.109,-91.29,22
161,Laurance,M,Hue University,Polish,40.325,-93.569,23
162,Treby,M,Universidad Americana,Maltese,43.475,-92.473,18
163,Matteris,M,Institut National Polytechnique de Lorraine,Aymara,43.144,-93.623,24
164,Chavez,M,Canisius College,French,42.517,-93.398,18
